SECTOR;CANTIDAD;FOB_TOTAL;FLETE_TOTAL;CIF_TOTAL
1;1;4139.25;257.39;4400.66
1;1;4139.25;257.39;4400.66
1;4;5164.81;321.17;5490.99
1;140;9702;363.97;10075.04
1;153;11878.92;491.98;12382.01
1;180;17586;726.58;18329.03
1;32;4873.6;192.66;5070.82
1;43;10096.4;364.79;10470.63
1;1;3194.37;29.89;3228.42
1;2;3570.49;33.41;3608.55
1;1;1919.26;17.95;1939.71
1;1;3194.37;29.89;3228.42
1;1;1919.26;17.95;1939.71
1;120;9642;582.28;10233.48
1;250;21875;1321.03;23216.9
1;2;1806.57;98.74;1907.69
1;1;794.72;43.43;839.19
1;1;730.91;39.95;771.82
1;1;707.1;38.65;746.68
1;1;979.94;53.56;1034.79
1;1;890.42;48.67;940.26
1;3;3322.68;181.61;3508.67
1;1;1757.05;96.04;1855.4
1;2;1164.7;63.66;1229.89
1;1;1757.05;96.04;1855.4
1;1;708.53;38.72;748.18
1;1;708.53;38.72;748.18
1;1;708.53;38.72;748.18
1;1;772.81;42.24;816.06
1;1;802.81;43.88;847.74
1;1;810.9;44.32;856.28
1;1;439.97;24.04;464.59
1;1;439.97;24.04;464.59
1;3;2939.84;160.69;3104.4
1;1;1156.12;63.19;1220.83
1;1;1147.55;62.72;1211.78
1;1;2081.21;113.75;2197.7
1;4;1167.18;36.65;1205.02
1;30;4639.83;120.78;4764.89
1;16;5345.86;139.17;5489.96
1;4;1462.47;38.07;1501.89
1;3;1544.56;40.21;1586.19
1;3;195.62;5.09;200.89
1;6;2631.47;68.5;2702.4
1;6;321.92;8.38;330.59
1;18;2783.95;72.47;2858.99
1;35;13136.33;341.97;13490.43
1;10;4876.14;126.94;5007.58
1;5;1250;30.66;1281.81
1;13;2262;55.49;2319.57
1;15;3495;85.74;3583.96
1;5;724.8;17.78;743.24
1;1;149.36;3.66;153.15
1;7;1113.77;27.32;1142.11
1;21;3727.5;91.45;3822.38
1;13;2571.27;63.08;2636.72
1;11;2970;72.86;3045.59
1;42;12400.08;304.23;12715.74
1;2;966;23.7;990.59
1;9;873;21.41;895.21
1;1;1197;29.36;1227.46
1;3;399;9.78;409.14
1;5;1100;26.98;1127.99
1;2;3038;74.53;3115.33
1;2;780;19.13;799.84
1;3;885;21.71;907.52
1;2;660;16.19;676.79
1;7;2457;60.28;2519.54
1;12;7956;195.19;8158.52
1;11;8250;202.41;8460.01
1;10;2111.5;51.8;2165.24
1;15;1455;35.69;1492.03
1;13;900.9;38.28;940.02
1;100;6930;294.53;7231.04
1;150;11646;546.43;12203.37
1;180;17586;823.14;18425.67
1;26;3959.8;177.34;4140.86
1;28;5840.8;219.19;6065.48
1;23;5400.4;221.05;5626.52
1;101;8458.48;148.99;8615.16
1;16;2332.98;41.09;2376.19
1;11;4421.89;77.89;4503.8
1;136;19830.39;349.31;20197.74
1;173;26761.05;471.4;27256.79
1;1;2049.65;29.21;2080.73
1;54;5569.2;79.39;5653.67
1;6;582.75;8.3;591.58
1;24;3196.13;45.56;3244.6
1;11;1564.02;22.29;1587.73
1;15;3754.85;53.52;3811.79
1;20;5912.45;84.28;6002.12
1;34;4970.43;70.85;5045.81
1;31;7232.35;103.09;7342.04
1;18;2901.75;41.36;2945.75
1;55;14869.24;211.96;15094.77
1;8;3124.04;44.53;3171.42
1;12;5803.51;82.73;5891.53
1;9;5257.4;74.94;5337.13
1;1;663.85;9.46;673.91
1;3;3217.16;45.86;3265.95
1;2;2397.1;34.17;2433.45
1;1;1084.54;15.46;1100.98
1;40;13880;479.68;14372.6
1;350;29286.96;421.21;29734.97
1;32;12001.84;172.61;12185.43
1;30;4638.15;66.68;4709.07
1;1;1795.26;20.68;1818.21
1;11;2019.6;46.36;2067.81
1;28;7756;178.03;7941.17
1;12;5808;133.32;5946.66
1;12;6504;149.29;6659.27
1;2;1364;31.31;1396.56
1;10;7873.2;180.72;8061.16
1;15;11535;264.78;11810.39
1;3;3222;73.96;3298.92
1;1;2099;48.18;2149.11
1;18;2934;67.35;3004.05
1;19;2337;53.64;2392.79
1;5;1270;29.15;1300.31
1;3;1446;33.19;1480.52
1;2;1146;26.3;1173.35
1;25;2857.75;65.6;2925.98
1;10;1325.9;30.43;1357.55
1;12;1714.56;39.35;1755.48
1;6;1818;41.73;1861.4
1;7;2373;54.47;2429.65
1;12;4344;99.71;4447.7
1;1;400;9.18;409.54
1;7;3465;79.53;3547.72
1;9;5382;123.54;5510.49
1;3;2040;46.82;2088.69
1;17;2837.13;65.12;2904.86
1;3;5933.34;136.2;6075
1;2;4700;107.88;4812.2
1;1;3804.37;87.32;3895.19
1;15;14024.77;320.76;14358.44
1;12;5969.66;136.53;6111.68
1;3;5598.6;501.02;6105.1
1;14;24214.43;2166.97;26405.14
1;1;1309.32;20.8;1331.46
1;24;3864;36.54;3904.05
1;10;3400;32.15;3435.23
1;3;849;8.02;857.79
1;1;482;4.55;486.98
1;1;573;5.41;578.93
1;24;3168;29.96;3200.83
1;24;3600;34.04;3637.31
1;7;6096.65;57.65;6159.83
1;3;885.72;8.37;894.89
1;3;1200;11.34;1212.43
1;3;1485;14.04;1500.38
1;1;2099;19.85;2120.75
1;18;3150;29.79;3182.65
1;2;272;2.57;274.81
