FECHA;VENTAS
2051-08-01;15856.56
2051-09-01;61170.69
2051-10-01;185161.61
2051-11-01;1075.26
2051-12-01;27229.08
2052-01-01;21007.01
2052-02-01;47531.54
2052-03-01;30271.79
2052-04-01;60443.01
2052-05-01;29289.69
2052-06-01;15886.37
2052-07-01;24375.73
2052-08-01;25627.64
2052-09-01;11742.02
2052-10-01;34649.78
2052-11-01;26740.68
2052-12-01;17343.16
2053-01-01;9159.32
2053-02-01;6378.73
2053-03-01;17899.36
2053-04-01;5271.04
2053-05-01;18394.40
2053-06-01;32200.00
2053-07-01;633.30
2053-08-01;67973.33
2053-09-01;16794.37
2053-10-01;48697.39
2053-11-01;8734.13
2053-12-01;129.67
2054-01-01;41765.13
2054-02-01;53061.73
2054-03-01;23244.21
2054-04-01;61567.00
2054-05-01;4962.31
2054-06-01;5910.39
2054-07-01;623.60
2054-08-01;3689.44
2054-09-01;78237.76
2054-10-01;23932.79
2054-11-01;155078.11
2054-12-01;65771.90
2055-01-01;2008.19
2055-02-01;29554.50
2055-03-01;163027.20
2055-04-01;37939.86
2055-05-01;3669.53
2055-06-01;97122.17
2055-07-01;78502.70
2055-08-01;45900.37
2055-09-01;10938.18
2055-10-01;91168.02
